sr_no,date,startup_name,industry_vertical,subvertical,city__location,investors_name,investmentntype,amount_in_usd
1959,16-02-2016,BetterPlace,Data analytics based Verification services Platform,Data analytics based Verification services Platform,Bangalore,Unitus Seed Fund,Seed Funding,970000.0
1960,16-02-2016,Salebhai,"Sweets, Eatables, Handicrafts Online Marketplace","Sweets, Eatables, Handicrafts Online Marketplace",Ahmedabad,"Virendra Shekhawat, Deepak Chokhani, Yogesh Patel & Others",Seed Funding,324500.0
1961,16-02-2016,icustommadeit,Professional Custom creators Marketplace,Professional Custom creators Marketplace,Pune,"Brand Capital, Siddhivinayak Skyscrapers, Dinesh R. Challa",Private Equity,4000000.0
1962,16-02-2016,Tring,Instant Messaging App,Instant Messaging App,Pune,Vishwadeep Bajaj & Others,Seed Funding,324500.0
1963,16-02-2016,Medinfi,Doctor & Clinics Discovery platform,Doctor & Clinics Discovery platform,Bangalore,"Rajnish Sinha, Prijit Debnath, Kanchan Ghoshal",Seed Funding,324500.0
1964,17-02-2016,Timemytask,On-Demand home cleaning services,On-Demand home cleaning services,Mumbai,Lead Angels,Seed Funding,324500.0
1965,17-02-2016,GameZop,Mobile Gaming Platform,Mobile Gaming Platform,New Delhi,"KWAN Entertainment & Marketing Solutions, Powerhouse Ventures & Others",Seed Funding,350000.0
1966,17-02-2016,Notary Mama,On-demand Legal documentation and registration service,On-demand Legal documentation and registration service,Bangalore,"Dr Nandish Domlur, Amit Sandill",Seed Funding,324500.0
1967,17-02-2016,The Viral Fever,Independent Online Video production company,Independent Online Video production company,Mumbai,Tiger Global,Private Equity,10000000.0
1968,17-02-2016,Avanti Learning,Private Coaching Classes,Private Coaching Classes,New Delhi,Michael & Susan Dell Foundation,Private Equity,5000000.0
1969,17-02-2016,Bollant Industries,Eco-friendly consumer & packaging products,Eco-friendly consumer & packaging products,Hyderabad,Ratan Tata,Private Equity,5925000.0
1970,18-02-2016,GetVee,Matrimony & Couples only mobile platform,Matrimony & Couples only mobile platform,New Delhi,"Lightspeed Venture Partners, K Ganesh",Private Equity,5925000.0
1971,18-02-2016,HealthKumbh,Health related Information portal,Health related Information portal,Ahmedabad,Undisclosed investor,Seed Funding,73000.0
1972,18-02-2016,Unlaze,Social Networking app for outdoor interests,Social Networking app for outdoor interests,Gurgaon,"Sujal Shah, Dino Morea",Seed Funding,324500.0
1973,18-02-2016,Tracxn,Indian Startup ecosystem trends analyzer & funding platform,Indian Startup ecosystem trends analyzer & funding platform,Bangalore,"Nandan Nilekani, Mohandas Pai, Neeraj Arora, Anand Rajaraman, Girish Mathrubootham, Aneesh Reddy & Teruhide Sato",Private Equity,5925000.0
1974,18-02-2016,Careongo,Online Pharmacy store,Online Pharmacy store,New Delhi,Farooq Oomerbhoy & Other angel investors,Seed Funding,300000.0
1975,18-02-2016,Ark Robot,Warehouse Automation,Warehouse Automation,Bangalore,Qualcomm (Through QPrize Contest),Seed Funding,350000.0
1976,19-02-2016,Jaypore,Ethnic Products marketplace,Ethnic Products marketplace,New Delhi,Aavishkaar,Private Equity,5000000.0
1977,19-02-2016,Finance Buddha,Online Loan Comparison & Discovery platform,Online Loan Comparison & Discovery platform,Bangalore,Chennai Angels,Seed Funding,324500.0
1978,19-02-2016,AlmaConnect,Alumni social network,Alumni social network,New Delhi,"Mohandas Pai, Varun Aggarwal",Seed Funding,324500.0
1979,19-02-2016,Advantage Club,mobile platform for corporate employee benefits,mobile platform for corporate employee benefits,Gurgaon,Purvi Ventures & Others,Seed Funding,400000.0
1980,19-02-2016,LocalRamu,mobile based aggregator for local service providers,mobile based aggregator for local service providers,Bangalore,3 undisclosed investors,Seed Funding,324500.0
1981,22-02-2016,Baby Berry,Parenting Mobile app,Parenting Mobile app,Bangalore,Nitin Bagmane & Other undisclosed investors,Seed Funding,1000000.0
1982,22-02-2016,Magicpin,Hyperlocal Discover Mobile App,Hyperlocal Discover Mobile App,New Delhi,Lightspeed India,Private Equity,3000000.0
1983,22-02-2016,First Eat,Healthy Food Delivery platform,Healthy Food Delivery platform,New Delhi,Undisclosed investor,Seed Funding,100000.0
1984,22-02-2016,SigTuple,Healthcare based Tech Solutions,Healthcare based Tech Solutions,Bangalore,"Sachin Bansal, Binny Bansal, Accel Partners & Others",Seed Funding,324500.0
1985,22-02-2016,Taskbob,Hyperlocal Handyman services platform,Hyperlocal Handyman services platform,Mumbai,"IvyCap Ventures, Orios Venture Partners, Mayfield India",Private Equity,4500000.0
1986,22-02-2016,Styledotme,Mobile Fashion App,Mobile Fashion App,New Delhi,Indian Angel Network,Seed Funding,37000.0
1987,22-02-2016,NewsLaundry,Independent News Media Portal,Independent News Media Portal,New Delhi,"Omidyar Network,\\xc2\\xa0 Vikram Lal, Abhijit Bhandari, Mahesh Murthy, Shashank Bhagat",Private Equity,5925000.0
1988,23-02-2016,CupoNation,Deals and Discount platform,Deals and Discount platform,Gurgaon,"Rocket Internet AG, Holtzbrink Ventures, New Enterprise Associates (NEA), e.ventures, ru-Net, Deutsche Telekom Strategic Investments (DTSI), Silicon Valley Bank",Private Equity,11000000.0
1989,23-02-2016,Aarav UAV,unmanned aerial vehicles creator,unmanned aerial vehicles creator,Kanpur,"StartupXseed Ventures, The Phoenix Fund and others",Seed Funding,324500.0
1990,24-02-2016,Sayfix,Hyperlocal Home Services Provider,Hyperlocal Home Services Provider,Bangalore,Yajnanarayana Kammaje,Seed Funding,160000.0
1991,24-02-2016,LoanZen,Peer to peer Lending marketplace,Peer to peer Lending marketplace,Bangalore,Tracxn Syndicate,Seed Funding,324500.0
1992,24-02-2016,NoBroker,Peer to peer property listing platform,Peer to peer property listing platform,Bangalore,"Beenext, Digital Garage, Beenos, Qualgro, Mamoru Taniya, SAIF Partners",Private Equity,10000000.0
1993,24-02-2016,AppilyEver,Online wedding services marketplace,Online wedding services marketplace,Hyderabad,"Varun Aggarwal, Suresh Venkat, Raj Y",Seed Funding,400000.0
1994,24-02-2016,Pocketin,Hotel reservations & Deal platform,Hotel reservations & Deal platform,Noida,Swastika Company Ltd,Seed Funding,150000.0
1995,24-02-2016,FeetApart,Employee engagements & Rewards platform,Employee engagements & Rewards platform,Bangalore,Vishal Bali & Others,Seed Funding,324500.0
1996,25-02-2016,OfBusiness,B2B commerce Marketplace,B2B commerce Marketplace,Gurgaon,Matrix Partners India,Private Equity,5000000.0
1997,25-02-2016,CarveNiche,Personalized Learning Solutions & products,Personalized Learning Solutions & products,Bangalore,"Calcutta Angels, Lead Angels & Others",Seed Funding,324500.0
1998,25-02-2016,Juspay,Digital Payments solutions,Digital Payments solutions,Bangalore,"Accel Partners, Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",Private Equity,5800000.0
1999,25-02-2016,Funcart,Party Supplies Etailer,Party Supplies Etailer,New Delhi,Undisclosed HNIs,Seed Funding,70000.0
2000,26-02-2016,Freedom Smart Labs,IoT retail solutions,IoT retail solutions,New Delhi,Kapil Goel,Seed Funding,145000.0
2001,26-02-2016,EduBridge,Skill development and vocational training platform,Skill development and vocational training platform,Mumbai,"Insitor Impact Asia Fund, Acumen Fund",Private Equity,2500000.0
2002,29-02-2016,Nestaway,Online Home Rental Marketplace,Online Home Rental Marketplace,Bangalore,Ratan Tata,Private Equity,5925000.0
2003,29-02-2016,Hopscotch,Baby & Kids Products Online Flash sales platform,Baby & Kids Products Online Flash sales platform,Mumbai,Eduardo Saverin,Private Equity,13000000.0
2004,29-02-2016,PinClick,Online real estate listings,Online real estate listings,Bangalore,Undisclosed investors,Private Equity,5925000.0
2005,01-01-2016,Smartcooky,Health Food / Personal Care Marketplace,Health Food / Personal Care Marketplace,New Delhi,"Rajan Anandan, Pramod Bhasin, Siddharth Pai, TV Mohandas Pai, Manvinder Singh Banga",Seed Funding,324500.0
2006,01-01-2016,Helpi,On Demand Cleaning Services Mobile App,On Demand Cleaning Services Mobile App,Mumbai,Undisclosed Investors,Seed Funding,324500.0
2007,04-01-2016,DogSpot,Online Pet Store,Online Pet Store,Gurgaon,Ratan Tata,Seed Funding,324500.0
2008,04-01-2016,Career360,College Education Portal,College Education Portal,New Delhi,MeritTrac,Private Equity,5925000.0
2009,04-01-2016,B9 Beverages,Craft Beer manufacturing company,Craft Beer manufacturing company,New Delhi,"Sequoia Capital, Kunal Bahl, Rohit Bansal, Deepinder Goyal, Ashish Dhawan, Mayank Singhal",Private Equity,6000000.0
2010,05-01-2016,WIMWI Foods,Healthy food manufacturing & sales startup,Healthy food manufacturing & sales startup,Ahmedabad,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,324500.0
2011,05-01-2016,MyChild App,Child Disorder Information & Education,Child Disorder Information & Education,Bhopal,"Samir Bangara, Anisha Mittal, Amit Gupta, Pallav Nadhani, Lalit Mangal, Arihant Patni, Dr. Ritesh Malik, Deobrat Singh, Saurab Paruthi, Singapore Angel Network.",Seed Funding,100000.0
2012,05-01-2016,Instaproc,B2B Procurement Marketplace for Office Products,B2B Procurement Marketplace for Office Products,Noida,Dinesh Agarwal,Seed Funding,324500.0
2013,05-01-2016,360Ride,Ride Sharing platform,Ride Sharing platform,Bangalore,Undisclosed,Seed Funding,150000.0
2014,05-01-2016,Alef\\nMobitech,Cloud Mobility Solutions,Cloud Mobility Solutions,Mumbai,Tata Capital Innovation Fund,Private Equity,5000000.0
2015,06-01-2016,Tracxn,Startup Funding Deal Discovery & Execution platform,Startup Funding Deal Discovery & Execution platform,Bangalore,Ratan Tata,Seed Funding,324500.0
2016,06-01-2016,Qdesq,Branded Workspaces Aggregator,Branded Workspaces Aggregator,Gurgaon,"Dheeraj Jain, Jagdish Kumar, Bharat Gupta, Ankush Saigal, Praveen Saini",Seed Funding,324500.0
2017,06-01-2016,Sensara,"TV Search, Guide and Remote mobile app","TV Search, Guide and Remote mobile app",Bangalore,"Lalitesh Katragadda,\\xc2\\xa0 Ganayantrika Systems",Seed Funding,750000.0
2018,06-01-2016,Zebpay,Bitcoin Buying & Selling Mobile App,Bitcoin Buying & Selling Mobile App,Ahmedabad,"Arjun Handa, Amit Jindal, Nagendra Chaudhary",Private Equity,1000000.0
2019,06-01-2016,PlanMy\\nMedicalTrip,Medical Tourism platform,Medical Tourism platform,Pune,"Bhanu Vikram Parsotam, Rohan Desai and Paras Patel",Seed Funding,150000.0
2020,06-01-2016,MyCity4Kids,Children Education & Information platform,Children Education & Information platform,Gurgaon,"SIDBI Venture Capital Limited, YourNest Angel Fund",Private Equity,3000000.0
2021,06-01-2016,Justdakhila.com,School Student admissions platform,School Student admissions platform,New Delhi,Ankur Gupta,Seed Funding,750000.0
2022,07-01-2016,PitStop,Automobile Service Booking App,Automobile Service Booking App,Bangalore,Myntra/LivSpace Founders,Seed Funding,324500.0
2023,07-01-2016,Bikxie,Two Wheeler Taxi Service,Two Wheeler Taxi Service,Gurgaon,Undisclosed Investors,Seed Funding,324500.0
2024,07-01-2016,Infurnia,Online Furniture Customization platform,Online Furniture Customization platform,Bangalore,Idein Ventures,Seed Funding,160000.0
2025,07-01-2016,Myly,Mobile Based Education platform,Mobile Based Education platform,Jaipur,Newbie Promoter Pvt Ltd,Seed Funding,100000.0
2026,07-01-2016,MakeMyTrip,Online Travel/Hotel Booking platform,Online Travel/Hotel Booking platform,Gurgaon,Ctrip.com International Ltd,Private Equity,180000000.0
2027,08-01-2016,Melorra,Online/ Mobile Jewellery Retailer,Online/ Mobile Jewellery Retailer,Bangalore,Lightbox Ventures,Private Equity,5000000.0
2028,08-01-2016,ConfirmTKT,Train PNR Status Prediction Platform,Train PNR Status Prediction Platform,Bangalore,"Krishna Jhujhunwala, Dr. Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta & Others",Seed Funding,250000.0
2029,08-01-2016,Gyaanzone,Career Planning and Education Advisory Platform,Career Planning and Education Advisory Platform,Mumbai,GBIM Technologies Pvt Ltd,Seed Funding,45000.0
2030,08-01-2016,FlatFurnish,Online Furnishing Rental Platform,Online Furnishing Rental Platform,Gurgaon,Arun Chandra Mohan,Seed Funding,324500.0
2031,09-01-2016,Lumiere,Organic Food eTailer,Organic Food eTailer,Bangalore,Undisclosed investors,Private Equity,5925000.0
2032,11-01-2016,Koovs,Online Fashion Apparel Retailer,Online Fashion Apparel Retailer,Gurgaon,"Nahata Family, Waheed Alli",Private Equity,5400000.0
2033,11-01-2016,Wishup,Mobile app based Concierge Service,Mobile app based Concierge Service,New Delhi,"500 Startups, Mato Peric, TracxnLabs",Seed Funding,324500.0
2034,11-01-2016,FreshMenu,Online / Mobile Food Ordering platform,Online / Mobile Food Ordering platform,Bangalore,"Zodius Capital, Lightspeed Venture Partners",Private Equity,16500000.0
2035,11-01-2016,SavvyMob,Last Minute Hotel Bookings mobile marketplace,Last Minute Hotel Bookings mobile marketplace,Bangalore,"TV Mohandas Pai, LetsVenture",Seed Funding,1000000.0
2036,11-01-2016,Fashionablyin,Mobile based Geo-target Fashion Marketplace,Mobile based Geo-target Fashion Marketplace,Mumbai,Ranjan Mahtani,Seed Funding,324500.0
2037,12-01-2016,Shopclues,ECommerce Marketplace,ECommerce Marketplace,Gurgaon,"GIC, Tiger Global Management, Nexus Venture Partners",Private Equity,100000000.0
2038,12-01-2016,Hike Messenger,P2P Messaging Service,P2P Messaging Service,New Delhi,"Matt Mullenweg, Adam D\\xe2\\x80\\x99Angelo, Aditya Agarwal,\\xc2\\xa0 Ruchi Sanghvi & Others",Private Equity,5925000.0
2039,12-01-2016,iBus Networks,Next Generation in-building connectivity,Next Generation in-building connectivity,Bangalore,"Vallabh Bhanshali, N Squared Management LLC, Jagdish & Sandeep Mehta Family Office",Private Equity,2300000.0
2040,12-01-2016,Happy2Refer,Mobile based Referral Platform,Mobile based Referral Platform,Mumbai,"Equity Crest, Vinners, Sparknext",Seed Funding,250000.0
2041,13-01-2016,CarTrade,Auto Classifieds Portal,Auto Classifieds Portal,Mumbai,"Temasek Holdings, March Capital, Warburg Pincus",Private Equity,145000000.0
2042,13-01-2016,Rentomo,peer-to-peer renting Marketplace,peer-to-peer renting Marketplace,Bangalore,Shiva Ashok & Other unnamed investors,Seed Funding,100000.0
2043,13-01-2016,Roder,inter-city cab aggregator,inter-city cab aggregator,New Delhi,Unicorn India Ventures,Seed Funding,240000.0
2044,13-01-2016,Bucker,Food Ordering Mobile App,Food Ordering Mobile App,Hyderabad,"50k Ventures, Munish Jauhar, Pulkit Jain, Rohit Narang",Seed Funding,324500.0
2045,13-01-2016,Care24,Professional Health Services Platform,Professional Health Services Platform,Mumbai,"SAIF Partners, India Quotient",Private Equity,4000000.0
2046,13-01-2016,Obino,Weigh Loss Coaching,Weigh Loss Coaching,Mumbai,RoundGlass Partners,Private Equity,5925000.0
2047,14-01-2016,Snapshopr,Visual Search & Image Recognition Platform,Visual Search & Image Recognition Platform,Bangalore,Amod Malviya,Seed Funding,324500.0
2048,14-01-2016,Buildkar,Construction Material Marketplace,Construction Material Marketplace,Bangalore,"Mustafa Wajid, Umang Kumar & Others",Seed Funding,324500.0
2049,14-01-2016,Orahi,Carpooling Mobile App,Carpooling Mobile App,Gurgaon,Indian Angel Network,Seed Funding,520000.0
2050,14-01-2016,Zapr,TV to Mobile audience Platform,TV to Mobile audience Platform,Gurgaon,"Flipkart, Saavn, Micromax, Dhiraj Rajaram, Ambiga Dhiraj, Dinesh Agarwal, Samir Bangara, Sanjay Nath, Arihant Patni",Seed Funding,324500.0
2051,15-01-2016,Remidio,Healthcare Product Manufacturer,Healthcare Product Manufacturer,Bangalore,Cipher-Plexus Capital Advisors & Indian HNIs,Private Equity,5925000.0
2052,15-01-2016,Fitso,Fitness related Social Networking App & Forum,Fitness related Social Networking App & Forum,Gurgaon,"Varun Khurana, Samar Singla, Vinay Bansal,",Seed Funding,200000.0
2053,15-01-2016,evibe.in,Party Hall Booking platform,Party Hall Booking platform,Bangalore,"Hyderabad Angels, Lalit Mangal,\\xc2\\xa0 Vikas Malpani, Gaurav Bhalotia, LV Prasad",Seed Funding,324500.0
2054,15-01-2016,Zoctr,healthcare aggregator platform,healthcare aggregator platform,Mumbai,Times Group,Seed Funding,324500.0
2055,15-01-2016,Jobick,Mobile app based Job Search,Mobile app based Job Search,Noida,Abhinav Mathur,Seed Funding,324500.0
2056,16-01-2016,Plick,Instant Content Transfer Mobile App,Instant Content Transfer Mobile App,Mumbai,Sanjay Mehta,Seed Funding,324500.0
2057,18-01-2016,Voice Friends,Dating & Singles Chat Platform,Dating & Singles Chat Platform,Mumbai,Huzaifa Khorakiwala,Seed Funding,324500.0
2058,18-01-2016,Kartrocket,SAAS DIY\\xc2\\xa0 ECommerce Platform,SAAS DIY\\xc2\\xa0 ECommerce Platform,New Delhi,"Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding, 500 Startups",Private Equity,6000000.0
2059,19-01-2016,Swiggy,Online/Mobile food ordering platform,Online/Mobile food ordering platform,Bangalore,"Harmony Partners, RB Investments & existing investors",Private Equity,35000000.0
2060,19-01-2016,TinyStep,Parenting Social Network,Parenting Social Network,Bangalore,Flipkart,Seed Funding,324500.0
2061,19-01-2016,Cashkaro,Coupon & Cashback platform,Coupon & Cashback platform,Gurgaon,Ratan Tata,Private Equity,5925000.0
2062,19-01-2016,Gameezop,Casual Gaming platform,Casual Gaming platform,New Delhi,Anand Chandrasekaran & Others,Seed Funding,324500.0
2063,19-01-2016,DailyObjects,Mobile Accessories etailer,Mobile Accessories etailer,New Delhi,"Unilazer Fund,\\xc2\\xa0 Phanindra Sama, Peyush Bansal",Private Equity,1400000.0
2064,19-01-2016,Indus OS,Local language Mobile OS,Local language Mobile OS,Mumbai,"Omidyar Network,",Private Equity,5000000.0
2065,19-01-2016,CollegeDunia,Educational College Search platform,Educational College Search platform,New Delhi,Umang Kumar,Seed Funding,445000.0
2066,19-01-2016,Villgro,Social Business Incubator & Fund,Social Business Incubator & Fund,Chennai,"Lemelson Foundation, Michael and Susan Dell Foundation",Private Equity,3500000.0
2067,20-01-2016,Reddoorz,Budget Accomodation Aggregator,Budget Accomodation Aggregator,New Delhi,500 Startups,Private Equity,5925000.0
2068,20-01-2016,IndustryBuying,B2B Industrial Goods Marketplace,B2B Industrial Goods Marketplace,New Delhi,Trifecta Capital,Private Equity,1800000.0
2069,20-01-2016,Just Buy Live,B2B Marketplace for Distributors,B2B Marketplace for Distributors,Mumbai,Alpha Capital,Private Equity,20000000.0
2070,20-01-2016,IMbesharam,Adult Products Etailers,Adult Products Etailers,New Delhi / US,Undisclosed US Based Investors,Private Equity,4000000.0
2071,20-01-2016,Moodoo,Social Meeting organizer App,Social Meeting organizer App,Mumbai / UK,Sa\\xc3\\xafd Business School Seed Fund.,Seed Funding,40000.0
2072,20-01-2016,Saral Designs,Women Hygiene Product Manufacturer,Women Hygiene Product Manufacturer,Mumbai,"Farooq Adam, Ambi Parameswaran,",Seed Funding,324500.0
2073,21-01-2016,FirstCry,Kids Focused eTailer,Kids Focused eTailer,Pune,Ratan Tata,Private Equity,5925000.0
2074,21-01-2016,Fisdom,Personal Finance Mobile App,Personal Finance Mobile App,Bangalore,Rob Chandra,Seed Funding,500000.0
2075,21-01-2016,Easypolicy,Online insurance policy aggregator,Online insurance policy aggregator,Noida,Unilazer Ventures,Private Equity,2200000.0
2076,21-01-2016,Housing.com,Online Real Estate Portal,Online Real Estate Portal,Mumbai,SoftBank Corp,Private Equity,15000000.0
2077,21-01-2016,CREO,Smartphone OS Developer,Smartphone OS Developer,Bangalore,"Sequoia Capital, Beenext Ventures, India Quotient, Anand Chandrasekaran",Private Equity,3000000.0
2078,22-01-2016,ShabdaNagari,Hindi Language Social Networking Portal,Hindi Language Social Networking Portal,Kanpur,Kanpur Angels & Others,Seed Funding,200000.0
2079,22-01-2016,Little,Deal Discovery App,Deal Discovery App,Bangalore,GIC,Private Equity,5925000.0
2080,22-01-2016,SnapBizz,Mobile based Retail Market Ecosystem,Mobile based Retail Market Ecosystem,Bangalore,"Jungle Ventures, Taurus Value Creation, Konly Venture, Blume Ventures",Private Equity,7200000.0
2081,22-01-2016,Qlivery,on-demand concierge services,on-demand concierge services,Gurgaon,Chandigarh Angels Funding,Seed Funding,324500.0
2082,22-01-2016,PlexusMD,Social Network for Healthcare Professionals,Social Network for Healthcare Professionals,Ahmedabad,"Arihant Patni, Avnish Mehra, Pranay Adhvaryu, Ravi Sampat",Seed Funding,324500.0
2083,22-01-2016,Silvan,Home Automation & Security Solutions,Home Automation & Security Solutions,Bangalore,The Chennai Angels,Seed Funding,515000.0
2084,22-01-2016,EPS,Electronic Payments Solution Company,Electronic Payments Solution Company,Mumbai,APIS Partners,Private Equity,35000000.0
2085,22-01-2016,Qubole,Enterprise Cloud Based Data Processing,Enterprise Cloud Based Data Processing,Bangalore,"Institutional Venture Partners, Norwest Venture Partners, Lightspeed Venture Partners, CRV",Private Equity,30000000.0
2086,22-01-2016,Gajty,Salons & Spa Chain,Salons & Spa Chain,Gurgaon,Purvi Ventures,Seed Funding,324500.0
2087,25-01-2016,SIFTR Labs,Photography curation & Aggregator platform,Photography curation & Aggregator platform,Mumbai,Venture Catalysts,Seed Funding,150000.0
2088,25-01-2016,Power2SME,SME Online Buying Hub,SME Online Buying Hub,Gurgaon,"Nandan Nilekani, Accel Partners, Kalaari Capital and Inventus Capital",Private Equity,21000000.0
2089,25-01-2016,SkyCandle,Home D\\xc3\\xa9cor Product etailer,Home D\\xc3\\xa9cor Product etailer,New Delhi,GPA group,Private Equity,5925000.0
2090,27-01-2016,Teabox.com,Specialty Tea ETailer,Specialty Tea ETailer,Siliguri,Ratan Tata,Private Equity,5925000.0
2091,27-01-2016,Buildzar,Construction Material ETailer,Construction Material ETailer,Gurgaon,Puneet Dalmia,Private Equity,4000000.0
2092,27-01-2016,Applicate,"Sales, Market, Distribution & Data Analytics Platform","Sales, Market, Distribution & Data Analytics Platform",Bangalore,Undisclosed investors,Seed Funding,1000000.0
2093,27-01-2016,WhatsOnRent,Online Rental Marketplace,Online Rental Marketplace,Bangalore,Lalit Mangal & Others,Seed Funding,324500.0
2094,28-01-2016,Zebi (yet to launch),Data Intelligence & Analytics,Data Intelligence & Analytics,Hyderabad,Un disclosed investors,Seed Funding,1000000.0
2095,28-01-2016,Truce,Vegetables & Fruits Supply Chain,Vegetables & Fruits Supply Chain,Mumbai,"Anupam Mittal, Amit Gupta, Utsav Somani, Neeraj Goenka, Farooq Adam Mukadam",Seed Funding,370000.0
2096,28-01-2016,JustDoc,Medical Video Consultation platform,Medical Video Consultation platform,Bangalore,"TV Mohandas Pai, Mohit Saxena, Raghunandan G, Singapore Angel Network, TracxnLabs",Seed Funding,324500.0
2097,28-01-2016,Myeglu,Connected Smart Home Solutions,Connected Smart Home Solutions,Bangalore,Foxconn Technology Group & Others,Seed Funding,324500.0
2098,29-01-2016,BitGiving,Crowd Funding Platform,Crowd Funding Platform,New Delhi,"Harminder Sahni, Krishna Mehra, Sanjay Bakshi",Seed Funding,324500.0
2099,29-01-2016,Qriyo,Online Fitness & Educational information Aggregator,Online Fitness & Educational information Aggregator,Jodhpur,Idein Ventures,Seed Funding,160000.0
2100,29-01-2016,N.O.W,Rental Bike Aggregator App,Rental Bike Aggregator App,Noida,Maple Capital Advisors,Seed Funding,324500.0
2101,29-01-2016,Aisle,Indians focused Matchmaking App,Indians focused Matchmaking App,Bangalore,"TermSheet, ah! Ventures",Seed Funding,185000.0
2102,29-01-2016,FreshMenu,Fresh Food Delivery platform,Fresh Food Delivery platform,Bangalore,"Zodius Technology Fund, Lightspeed Venture Partners",Private Equity,17000000.0
2103,29-01-2016,Truebil,Online marketplace for cars,Online marketplace for cars,Mumbai,"Kalaari Capital, Inventus Capital, Tekton Ventures, Kae Capital",Private Equity,5150000.0
2104,29-01-2016,Rare Media,Mobile & Cloud based App developer,Mobile & Cloud based App developer,New Delhi,Info Edge (India) Ltd,Private Equity,1100000.0
2105,29-01-2016,TinMen,Food Delivery Platform,Food Delivery Platform,Hyderabad,Lead Angel Network,Seed Funding,324500.0
2106,29-01-2016,CodingLabs,Coding Skill Showcase & Resume Builder,Coding Skill Showcase & Resume Builder,Hyderabad,Vineet Nalla,Seed Funding,324500.0
2107,30-01-2016,FindUrClass,Hobby & Activity Class Aggregator,Hobby & Activity Class Aggregator,Mumbai,"Amit Patni, Anirudh Damani, Samir Shah",Seed Funding,324500.0
2108,30-01-2016,DesignBids,Interior Design Marketplace,Interior Design Marketplace,New Delhi,Indian Angel Network,Seed Funding,324500.0
2109,01-12-2015,CollegeDekho,Unknown,Unknown,Jaipur,GirnarSoft,Seed Funding,1000000.0
2110,01-12-2015,Black White Orange Brands,Unknown,Unknown,Mumbai,YouWeCan Ventures,Seed Funding,324500.0
2111,01-12-2015,Biteclub,Unknown,Unknown,Gurgaon,growX ventures,Private Equity,5925000.0
2112,01-12-2015,Patel Logistics,Unknown,Unknown,Mumbai,Frontline Strategy,Private Equity,5600000.0
2113,01-12-2015,Wigzo,Unknown,Unknown,New Delhi,"Aarin Capital Partners, TV Mohandas Pai",Seed Funding,500000.0
2114,01-12-2015,Zapluk,Unknown,Unknown,Hyderabad,Unknown,Seed Funding,324500.0
2115,01-12-2015,Godof Hospitals,Unknown,Unknown,New Delhi,Pankaj Gupta,Seed Funding,2000000.0
2116,02-12-2015,RoomsTonite,Unknown,Unknown,Bangalore,"Lashit Sanghvi, Nikhil Vora, Venkat Vardhan,Mohammed Bin Abdul Rehman Al Khalifa,\\xc2\\xa0 Ralph Berezan, Vissal Mathew,\\xc2\\xa0 Balamurali Krishna",Seed Funding,1500000.0
2117,02-12-2015,Kaaryah,Unknown,Unknown,New Delhi,"The Saha Fund, TV Mohandas Pai",Private Equity,5925000.0
2118,03-12-2015,Anakage,Unknown,Unknown,Bangalore,CIO Angel Network (CAN),Seed Funding,324500.0
2119,03-12-2015,EasyKhaana,Unknown,Unknown,New Delhi,Undisclosed investors,Seed Funding,100000.0
2120,03-12-2015,Shuttl,Unknown,Unknown,Gurgaon,"Sequoia Capital, Times Internet Ltd & One more Fund",Private Equity,20000000.0
2121,03-12-2015,Eckovation,Unknown,Unknown,New Delhi,Chandigarh Angel Network (CAN),Seed Funding,324500.0
2122,03-12-2015,Fitcircle,Unknown,Unknown,Mumbai,Beerud Sheth and Ravi Mantha,Seed Funding,324500.0
2123,04-12-2015,Applop,Unknown,Unknown,Kolkata,GHV Accelerator,Seed Funding,100000.0
2124,04-12-2015,CaRPM,Unknown,Unknown,Gurgaon,GHV Accelerator,Seed Funding,100000.0
2125,04-12-2015,NDTV Wedding portal,Unknown,Unknown,New Delhi,CerraCap,Private Equity,20000000.0
2126,04-12-2015,Splitkart,Unknown,Unknown,New Delhi,"Rajesh Sawhney, Anupam Mittal, Dinesh Agarwal, Gaurav Gupta,",Seed Funding,324500.0
2127,07-12-2015,Zenatix,Unknown,Unknown,Gurgaon,Blume Ventures,Private Equity,5925000.0
2128,07-12-2015,Customfurnish,Unknown,Unknown,Hyderabad,Agnus Capital,Private Equity,4500000.0
2129,07-12-2015,Faasos,Unknown,Unknown,Pune,"ru-Net, Sequoia Capital,\\xc2\\xa0 Lightbox Ventures",Private Equity,30000000.0
2130,07-12-2015,Vlurn,Unknown,Unknown,Mumbai,Vidyadhar Sarfare,Seed Funding,324500.0
2131,07-12-2015,Leaf Wearables,Unknown,Unknown,New Delhi,"Ajeet Khurana Jinesh Shah, Vikram Chachra, Dr. Aniruddha Malpani",Seed Funding,250000.0
2132,07-12-2015,Coolshare,Unknown,Unknown,Mumbai,Gopal Aggarwal,Seed Funding,100000.0
2133,08-12-2015,mFicient,Unknown,Unknown,New Delhi,Undisclosed investors,Seed Funding,324500.0
2134,08-12-2015,HeyBiz,Unknown,Unknown,New Delhi,Shopclues,Seed Funding,324500.0
